date,Apple,Amazon,Google,Meta,Microsoft,Netflix
2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.0139931713678336,0.9924516513803477,0.9778171054872774,1.0531691632223947,0.9999020140756423,1.0558127935178163
2019-01-15,1.0600961146032204,1.040926357764007,1.0279579261430207,1.086852398596927,1.0553595837068401,1.075347276087889
2019-01-22,1.0565809291078312,1.0051426343858414,1.001581909521491,1.0682361174688273,1.0295904776436333,1.0644384079412674
2019-01-29,1.1576424580437843,1.0023319256379506,1.060286982265078,1.2260050910591522,1.036057230773143,1.114162492605047
2019-02-05,1.1453389844709756,0.9763671420880881,1.0249160076931543,1.2009414750301117,1.0312561588881897,1.0963722172935977
2019-02-12,1.1569722656686252,0.986768993095616,1.0423628596802919,1.1771097567232431,1.0603569453186092,1.1316991160702525
2019-02-19,1.182838188489146,1.0021417420869456,1.0383849111316694,1.1924663340887078,1.0933766124366628,1.1540242528327278
2019-02-26,1.193836305917791,1.040908004255392,1.0743268597589282,1.2123866966151187,1.1046388745843745,1.1132111772107025
2019-03-05,1.214542536674356,1.0252283958368624,1.10049703011698,1.2464325161474883,1.1102476747216978,1.1380097339984734
2019-03-12,1.2764578684249874,1.0691250255052904,1.108452998962661,1.162404831375601,1.156889372063601,1.1525337941970921
2019-03-19,1.2813458725652822,1.0888303262139511,1.11663354041367,1.204563429795156,1.1577746625723968,1.1613814144714718
2019-03-26,1.2983182052639561,1.1133346948640235,1.1179720074911108,1.2220208852916987,1.1711570921782914,1.163696314189958
2019-04-02,1.3584683763581558,1.135224624939965,1.1267795585261322,1.2671494533030472,1.1801118771973325,1.1460963019573773
2019-04-09,1.3525616235888689,1.132162398211769,1.142934795164672,1.3013399733431237,1.1911326314584882,1.106329673269131
2019-04-16,1.3885429213403457,1.1582070569802467,1.1688991192592462,1.314306271562097,1.21779886898972,1.196613181708692
2019-04-23,1.3890865134136317,1.189578447062816,1.2051592004526466,1.410937892498739,1.2769375464896722,1.1791399470108614
2019-04-30,1.415359373498243,1.197016206429028,1.1132546195589395,1.404418596025278,1.2609963571169729,1.2008309057693554
2019-05-07,1.2608432185537446,1.11854484394227,1.0595663409718155,1.3150305514632963,1.2137642806736473,1.094881758657962
2019-05-14,1.2477749537465634,1.1408153284009215,1.0659498710895847,1.3235783202880773,1.2420054452518547,1.1039195452344663
2019-05-21,1.2196968230892138,1.1189130377987702,1.060914135345963,1.3115535193095775,1.2468003185138563,1.1238346507390211
2019-05-28,1.181055297303673,1.0387723487912015,0.9698986610737326,1.1890618187665565,1.1835911324725195,1.0675144567519732
